building_id;load_condition;EPI_freq;distance_volatility;anomaly_rate;anomaly_energy
Bear_education_Alfredo;Summer weekends;27.45;5.671010011;3.448275862;3.551484855
Bear_education_Alfredo;Summer workdays;39.2;4.413213721;2.479338843;2.57794795
Bear_education_Alfredo;Winter weekends;69.39;3.630456698;6.12244898;6.361517142
Bear_education_Alfredo;Winter workdays;28.57;3.039385398;3.921568627;4.23744046
Bear_education_Alvaro;Summer weekends;100;1.672896799;6.837606838;8.274976139
Bear_education_Alvaro;Summer workdays;100;1.756038818;3.278688525;4.247145709
Bear_education_Alvaro;Winter weekends;100;1.503412994;4.081632653;6.827801686
Bear_education_Alvaro;Winter workdays;100;1.676962137;5.882352941;9.863029085
Bear_education_Arnold;Summer weekends;0;8.342875153;6.837606838;6.475854665
Bear_education_Arnold;Summer workdays;0.8;6.983579383;1.639344262;1.651420505
Bear_education_Arnold;Winter weekends;2.04;5.683031033;6.12244898;6.332048151
Bear_education_Arnold;Winter workdays;4.2;4.267438163;5.882352941;6.473775635
Bear_education_Augusta;Summer weekends;90.2;0.829400158;1.869158879;1.687199042
Bear_education_Augusta;Summer workdays;0;0.662816824;1.639344262;1.870923447
Bear_education_Augusta;Winter weekends;100;0.728828386;6.12244898;7.170052732
Bear_education_Augusta;Winter workdays;0;0.687563287;7.843137255;8.81661154
Bear_education_Austin;Summer weekends;86.27;3.335224841;4.424778761;4.117111243
Bear_education_Austin;Summer workdays;0;2.022940658;3.278688525;3.029264852
Bear_education_Austin;Winter weekends;95.92;2.196033004;0;0
Bear_education_Austin;Winter workdays;0;1.312728114;3.921568627;5.009454113
Bear_education_Babara;Summer weekends;98.04;0.767297253;3.50877193;4.048142588
Bear_education_Babara;Summer workdays;71.2;1.432881641;0.819672131;0.733580673
Bear_education_Babara;Winter weekends;100;0.641819807;4.081632653;5.813288786
Bear_education_Babara;Winter workdays;69.75;1.639054802;0;0
Bear_education_Benita;Summer weekends;96.08;0.507120885;3.418803419;3.439703011
Bear_education_Benita;Summer workdays;84;1.367133342;9.016393443;7.140710489
Bear_education_Benita;Winter weekends;100;0.380417336;2.040816327;2.184729441
Bear_education_Benita;Winter workdays;62.18;1.272576281;5.882352941;4.912553928
Bear_education_Benjamin;Summer weekends;5.88;7.074391001;0.892857143;0.698700793
Bear_education_Benjamin;Summer workdays;28;6.927783893;5;5.02924417
Bear_education_Benjamin;Winter weekends;10.2;7.475604814;2.040816327;2.227119902
Bear_education_Benjamin;Winter workdays;23.53;7.522752137;1.960784314;1.999573045
Bear_education_Bob;Summer weekends;96.08;0.969778634;3.50877193;3.777296194
Bear_education_Bob;Summer workdays;92;0.887714143;4.098360656;4.105161178
Bear_education_Bob;Winter weekends;91.84;1.174057649;8.163265306;8.925837761
Bear_education_Bob;Winter workdays;78.76;1.206185326;3.921568627;4.032530613
Bear_education_Bonita;Summer weekends;0;5.533119971;4.385964912;4.098215733
Bear_education_Bonita;Summer workdays;31.2;3.900953055;3.278688525;3.004845095
Bear_education_Bonita;Winter weekends;95.92;1.506798111;4.081632653;2.415495371
Bear_education_Bonita;Winter workdays;11.76;1.2928882;0;0
Bear_education_Bulah;Summer weekends;98.04;1.350223679;1.769911504;2.038600593
Bear_education_Bulah;Summer workdays;88.8;1.308853478;4.958677686;5.619325778
Bear_education_Bulah;Winter weekends;100;1.197064492;6.12244898;6.567263736
Bear_education_Bulah;Winter workdays;86.55;1.426662773;3.921568627;4.644105244
Bear_education_Carlo;Summer weekends;5.88;5.536762689;5.172413793;4.285091765
Bear_education_Carlo;Summer workdays;0;3.422334269;4.958677686;5.323417034
Bear_education_Carlo;Winter weekends;26.53;5.069325817;2.040816327;2.208084163
Bear_education_Carlo;Winter workdays;0;3.360037721;3.921568627;4.996734533
Bear_education_Chad;Summer weekends;100;1.610899837;1.769911504;1.683649648
Bear_education_Chad;Summer workdays;100;1.094051646;5.93220339;5.959184999
Bear_education_Chad;Winter weekends;100;1.70688138;10.20408163;9.802147465
Bear_education_Chad;Winter workdays;96.61;1.335255454;1.960784314;2.203612083
Bear_education_Chana;Summer weekends;70.59;1.448627333;3.448275862;3.094621481
Bear_education_Chana;Summer workdays;99.2;1.489103958;3.278688525;2.989490262
Bear_education_Chana;Winter weekends;93.88;1.357370304;4.081632653;5.977104342
Bear_education_Chana;Winter workdays;99.13;1.331341324;1.960784314;2.955846134
Bear_education_Chun;Summer weekends;100;1.711675132;5.263157895;5.001773797
Bear_education_Chun;Summer workdays;100;1.580030853;0.833333333;0.842771097
Bear_education_Chun;Winter weekends;73.47;1.962343758;0;0
Bear_education_Chun;Winter workdays;91.6;1.379080929;7.843137255;8.034896047
Bear_education_Clint;Summer weekends;92.16;1.297743883;0.943396226;0.803663377
Bear_education_Clint;Summer workdays;100;1.184030951;0;0
Bear_education_Clint;Winter weekends;97.96;0.990632039;6.12244898;4.987074777
Bear_education_Clint;Winter workdays;100;0.993336418;0;0
Bear_education_Curtis;Summer weekends;100;0.981761747;2.586206897;1.961381105
Bear_education_Curtis;Summer workdays;100;1.441824019;1.587301587;1.819971405
Bear_education_Curtis;Winter weekends;100;0.781011256;6.382978723;7.297319808
Bear_education_Curtis;Winter workdays;100;1.104901149;5.660377358;5.922941518
Bear_education_Danna;Summer weekends;76.47;2.142458914;3.47826087;4.275929091
Bear_education_Danna;Summer workdays;98.4;3.07836057;1.587301587;1.678900685
Bear_education_Danna;Winter weekends;77.55;4.565504369;4.255319149;5.562224645
Bear_education_Danna;Winter workdays;74.23;4.485833378;0;0
Bear_education_Darrell;Summer weekends;0;1.393541604;0;0
Bear_education_Darrell;Summer workdays;3.2;0.979718591;7.936507937;8.880765128
Bear_education_Darrell;Winter weekends;12.24;1.767760371;0;0
Bear_education_Darrell;Winter workdays;1.85;0.605045151;9.433962264;9.907454387
Bear_education_Deena;Summer weekends;7.84;2.039255437;3.539823009;3.43596308
Bear_education_Deena;Summer workdays;40;2.340801176;2.380952381;2.520392058
Bear_education_Deena;Winter weekends;16.33;2.612021063;2.127659574;2.269492473
Bear_education_Deena;Winter workdays;16.82;2.588735627;5.660377358;6.354194378
Bear_education_Derek;Summer weekends;100;1.22629857;3.418803419;3.17152846
Bear_education_Derek;Summer workdays;100;1.059813061;4.8;5.832652849
Bear_education_Derek;Winter weekends;100;1.346962052;2.127659574;1.536135755
Bear_education_Derek;Winter workdays;100;1.028272431;5.660377358;6.57168299
Bear_education_Destiny;Summer weekends;3.92;2.122229655;4.166666667;4.122469068
Bear_education_Destiny;Summer workdays;3.2;2.193463896;5.555555556;6.978749048
Bear_education_Destiny;Winter weekends;12.24;2.576391985;0;0
Bear_education_Destiny;Winter workdays;13.04;2.763172965;5.660377358;6.195511031
Bear_education_Elise;Summer weekends;66.67;2.527353271;3.50877193;3.431532466
Bear_education_Elise;Summer workdays;74.4;2.434494272;0;0
Bear_education_Elise;Winter weekends;34.69;2.922011967;2.127659574;1.537440901
Bear_education_Elise;Winter workdays;87.83;2.127435021;0;0
Bear_education_Fannie;Summer weekends;94.12;0.981224176;0.877192982;0.997531386
Bear_education_Fannie;Summer workdays;79.2;2.422860596;0;0
Bear_education_Fannie;Winter weekends;100;0.847193208;4.255319149;4.13074005
Bear_education_Fannie;Winter workdays;48.74;2.473640026;3.773584906;4.112819356
Bear_education_Gavin;Summer weekends;98.04;1.399184825;5.309734513;5.680069466
Bear_education_Gavin;Summer workdays;100;0.808243605;1.587301587;1.946653877
Bear_education_Gavin;Winter weekends;100;1.270692918;2.127659574;3.455864343
Bear_education_Gavin;Winter workdays;100;0.732133166;0;0
Bear_education_Herb;Summer weekends;70.59;1.976804088;0.854700855;0.767128372
Bear_education_Herb;Summer workdays;84.8;1.869064838;3.968253968;4.23976112
Bear_education_Herb;Winter weekends;91.84;1.25695906;2.127659574;2.618041709
Bear_education_Herb;Winter workdays;75.44;1.216957556;7.547169811;7.809645248
Bear_education_Herman;Summer weekends;0;4.903808996;4.385964912;4.528053894
Bear_education_Herman;Summer workdays;32;4.255983078;3.174603175;3.294401552
Bear_education_Herman;Winter weekends;42.86;2.625972059;6.382978723;6.781376534
Bear_education_Herman;Winter workdays;21.85;1.658739774;5.660377358;6.105009261
